Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion
40,No,Travel_Frequently,1395,Research & Development,26,3,2,Female,Research Scientist,2,Divorced,5605,1,No,11,3,3,20,7,2
35,No,Travel_Rarely,662,Sales,1,5,3,Male,Sales Executive,2,Married,7295,1,No,13,3,3,10,8,0
53,No,Travel_Rarely,1436,Sales,6,2,2,Male,Sales Representative,3,Married,2306,2,Yes,20,4,1,7,7,4
45,No,Travel_Rarely,194,Research & Development,9,3,2,Male,Laboratory Technician,2,Divorced,2348,8,No,18,3,1,17,9,0
32,No,Travel_Frequently,967,Sales,8,3,2,Female,Sales Executive,4,Single,8998,1,No,14,3,3,9,8,3
29,No,Non-Travel,1496,Research & Development,1,1,4,Male,Manufacturing Director,3,Married,4319,1,No,13,3,3,10,7,0
51,No,Travel_Rarely,1169,Research & Development,7,4,2,Male,Manufacturing Director,3,Married,6132,2,No,17,3,3,1,0,0
58,No,Travel_Rarely,1145,Research & Development,9,3,2,Female,Research Scientist,2,Married,3346,4,Yes,20,4,2,1,0,0
40,No,Travel_Rarely,630,Sales,4,4,3,Male,Sales Executive,4,Married,10855,7,No,11,3,2,12,11,2
34,No,Travel_Frequently,303,Sales,2,4,3,Female,Sales Representative,3,Married,2231,6,No,18,3,3,4,3,1
22,No,Travel_Rarely,1256,Research & Development,19,1,3,Male,Research Scientist,4,Married,2323,1,No,24,4,3,2,2,2
27,No,Non-Travel,691,Research & Development,9,3,4,Male,Research Scientist,2,Divorced,2024,6,No,18,3,1,2,2,2
28,No,Travel_Rarely,440,Research & Development,21,3,3,Male,Research Scientist,4,Married,2713,1,No,11,3,1,5,2,0
57,No,Travel_Rarely,334,Research & Development,24,2,3,Male,Healthcare Representative,4,Divorced,9439,3,Yes,16,3,1,5,3,1
27,No,Non-Travel,1450,Research & Development,3,3,3,Male,Research Scientist,3,Divorced,2566,1,Yes,15,3,2,1,1,0
50,No,Travel_Rarely,1452,Research & Development,11,3,3,Female,Manager,2,Single,19926,3,No,15,3,3,5,4,4
41,No,Travel_Rarely,465,Research & Development,14,3,1,Male,Research Scientist,3,Divorced,2451,4,No,12,3,3,9,8,1
30,No,Travel_Rarely,1339,Sales,5,3,2,Female,Sales Executive,4,Married,9419,2,No,12,3,3,10,9,7
38,No,Travel_Rarely,702,Sales,1,4,1,Female,Sales Executive,4,Single,8686,4,No,22,4,4,8,3,0
32,No,Travel_Rarely,120,Research & Development,6,5,3,Male,Research Scientist,3,Single,3038,3,No,20,4,3,5,4,1
27,No,Travel_Rarely,1157,Research & Development,17,3,3,Male,Research Scientist,2,Married,3058,0,Yes,16,3,2,5,2,1
19,Yes,Travel_Frequently,602,Sales,1,1,3,Female,Sales Representative,1,Single,2325,0,No,21,4,4,0,0,0
36,No,Travel_Frequently,1480,Research & Development,3,2,4,Male,Laboratory Technician,2,Single,2088,4,No,12,3,2,8,7,7
30,No,Non-Travel,111,Research & Development,9,3,3,Male,Laboratory Technician,1,Divorced,3072,1,No,11,3,3,12,9,6
45,No,Travel_Rarely,1268,Sales,4,2,3,Female,Sales Executive,1,Divorced,5006,4,Yes,11,3,4,5,4,0
56,No,Travel_Rarely,713,Research & Development,8,3,3,Female,Research Scientist,1,Divorced,4257,4,Yes,18,3,3,2,2,2
33,No,Travel_Rarely,134,Research & Development,2,3,3,Male,Research Scientist,4,Single,2500,0,No,14,3,4,3,1,0
19,Yes,Travel_Rarely,303,Research & Development,2,3,2,Male,Laboratory Technician,4,Single,1102,1,No,22,4,2,1,0,1
46,No,Travel_Rarely,526,Sales,1,2,2,Female,Sales Executive,1,Divorced,10453,1,No,25,4,3,24,13,15
38,No,Travel_Rarely,1380,Research & Development,9,2,3,Female,Laboratory Technician,4,Single,2288,1,No,12,3,3,2,2,2
31,No,Travel_Rarely,140,Research & Development,12,1,3,Female,Research Scientist,4,Married,3929,8,Yes,23,4,3,4,2,0
34,No,Travel_Rarely,629,Research & Development,27,2,4,Female,Research Scientist,2,Single,2311,2,No,15,3,3,3,2,1
41,Yes,Travel_Rarely,1356,Sales,20,2,2,Female,Sales Representative,2,Single,3140,1,Yes,22,4,2,4,3,0
50,No,Travel_Rarely,328,Research & Development,1,3,3,Male,Laboratory Technician,3,Married,3690,2,No,15,3,2,3,2,0
53,No,Travel_Rarely,1084,Research & Development,13,2,4,Female,Manufacturing Director,1,Divorced,4450,1,No,11,3,3,4,2,1
33,No,Travel_Rarely,931,Research & Development,14,3,4,Female,Research Scientist,2,Married,2756,1,No,13,3,3,8,7,1
40,No,Travel_Rarely,989,Research & Development,4,1,4,Female,Manager,3,Married,19033,1,No,14,3,3,20,8,9
55,No,Travel_Rarely,692,Research & Development,14,4,3,Male,Research Director,2,Single,18722,8,No,11,3,3,24,15,2
34,No,Travel_Frequently,1069,Research & Development,2,1,4,Male,Manufacturing Director,3,Married,9547,1,No,17,3,2,10,9,1
51,No,Travel_Rarely,313,Research & Development,3,3,4,Female,Healthcare Representative,2,Single,13734,3,No,18,3,3,7,7,1
52,No,Travel_Rarely,699,Research & Development,1,4,3,Male,Manager,3,Married,19999,0,No,14,3,3,33,18,11
27,No,Travel_Rarely,894,Research & Development,9,3,4,Female,Research Scientist,2,Single,2279,1,No,16,3,2,7,7,0
35,Yes,Travel_Rarely,556,Research & Development,23,2,2,Male,Manufacturing Director,3,Married,5916,3,Yes,13,3,3,1,0,0
43,No,Non-Travel,1344,Research & Development,7,3,4,Male,Research Scientist,4,Divorced,2089,4,No,14,3,4,5,4,2
45,No,Non-Travel,1195,Research & Development,2,2,1,Male,Manager,4,Married,16792,9,No,23,4,3,20,8,11
37,No,Travel_Rarely,290,Research & Development,21,3,2,Male,Research Scientist,1,Married,3564,1,Yes,12,3,2,8,7,1
35,No,Travel_Frequently,138,Research & Development,2,3,2,Female,Laboratory Technician,2,Single,4425,5,No,11,3,3,6,2,1
42,No,Non-Travel,926,Research & Development,21,2,3,Female,Manufacturing Director,3,Divorced,5265,2,No,16,3,3,5,3,0
38,No,Travel_Rarely,1261,Research & Development,2,4,4,Male,Manufacturing Director,3,Married,6553,9,No,14,3,3,1,0,0
38,No,Travel_Rarely,1084,Research & Development,29,3,4,Male,Manufacturing Director,4,Married,6261,3,No,18,3,1,7,7,1
27,No,Travel_Frequently,472,Research & Development,1,1,3,Male,Manufacturing Director,1,Married,4298,5,No,19,3,3,2,2,2
49,No,Non-Travel,1002,Research & Development,18,4,4,Male,Manufacturing Director,4,Divorced,6804,1,Yes,15,3,3,7,7,1
34,No,Travel_Frequently,878,Research & Development,10,4,4,Male,Research Scientist,3,Divorced,3815,1,Yes,17,3,4,5,3,2
40,No,Travel_Rarely,905,Research & Development,19,2,3,Male,Laboratory Technician,4,Married,2741,8,Yes,15,3,4,7,2,3
38,Yes,Travel_Rarely,1180,Research & Development,29,1,2,Male,Healthcare Representative,1,Married,6673,7,Yes,19,3,3,1,0,0
29,Yes,Travel_Rarely,121,Sales,27,3,2,Female,Sales Executive,4,Married,7639,1,No,22,4,2,10,4,1
22,No,Travel_Rarely,1136,Research & Development,5,3,4,Male,Research Scientist,2,Divorced,2328,1,Yes,16,3,2,4,2,2
36,No,Travel_Frequently,635,Research & Development,18,1,2,Female,Laboratory Technician,4,Single,2153,1,No,13,3,3,8,1,1
40,No,Non-Travel,1151,Research & Development,9,5,4,Male,Healthcare Representative,4,Married,4876,9,No,14,3,1,3,2,0
46,No,Travel_Rarely,644,Research & Development,1,4,4,Male,Healthcare Representative,1,Divorced,9396,7,No,16,3,3,4,2,0
32,Yes,Travel_Rarely,1045,Sales,4,4,4,Male,Sales Executive,4,Married,10400,1,No,11,3,2,14,8,9
30,No,Non-Travel,829,Research & Development,1,1,3,Male,Manufacturing Director,3,Single,8474,1,No,22,4,3,11,8,5
27,No,Travel_Frequently,1242,Sales,20,3,4,Female,Sales Executive,3,Single,9981,1,No,14,3,3,7,7,0
51,No,Travel_Rarely,1469,Research & Development,8,4,2,Male,Research Director,2,Married,12490,5,No,16,3,1,10,9,4
30,Yes,Travel_Rarely,1005,Research & Development,3,3,4,Female,Research Scientist,1,Single,2657,5,Yes,11,3,3,5,2,0
41,No,Travel_Rarely,896,Sales,6,3,4,Female,Manager,4,Single,13591,3,Yes,18,3,3,1,0,0
30,Yes,Travel_Frequently,334,Sales,26,4,3,Female,Sales Executive,1,Single,6696,5,No,15,3,2,6,3,0
29,Yes,Travel_Rarely,992,Research & Development,1,3,3,Male,Research Scientist,3,Single,2058,0,No,14,3,2,6,2,1
